ID;rodada;hora;mandante;visitante;mandante_placar;visitante_placar;mandante_estado;visitante_estado;gcontra_mandante;gcontra_visitante;penalti_mandante;penalti_visitante
1;1;16:00;Guarani;Vasco;4;2;SP;RJ;0.0;0.0;0.0;0.0
2;1;16:00;Athletico-PR;Gremio;2;0;PR;RS;0.0;0.0;0.0;0.0
3;1;16:00;Flamengo;Coritiba;1;1;RJ;PR;0.0;0.0;0.0;0.0
4;1;16:00;Goias;Paysandu;2;2;GO;PA;0.0;0.0;0.0;0.0
5;1;16:00;Internacional;Ponte Preta;1;1;RS;SP;0.0;0.0;0.0;0.0
6;1;16:00;Criciuma;Fluminense;2;0;SC;RJ;0.0;0.0;0.0;0.0
7;1;16:00;Juventude;Sao Paulo;2;2;RS;SP;0.0;0.0;0.0;0.0
8;1;16:00;Fortaleza;Bahia;0;0;CE;BA;0.0;0.0;0.0;0.0
9;1;16:00;Cruzeiro;Sao Caetano;2;2;MG;SP;0.0;0.0;0.0;0.0
10;1;16:00;Vitoria;Figueirense;1;1;BA;SC;0.0;0.0;0.0;0.0
11;1;18:00;Santos;Parana;2;2;SP;PR;0.0;0.0;0.0;0.0
12;1;18:00;Corinthians;Atletico-MG;0;3;SP;MG;0.0;0.0;0.0;0.0
13;2;16:00;Fluminense;Fortaleza;1;1;RJ;CE;0.0;0.0;0.0;0.0
14;2;16:00;Atletico-MG;Santos;0;0;MG;SP;0.0;0.0;0.0;0.0
15;2;16:00;Coritiba;Internacional;0;1;PR;RS;0.0;0.0;0.0;0.0
16;2;18:00;Gremio;Guarani;3;1;RS;SP;0.0;0.0;0.0;0.0
17;2;16:00;Bahia;Flamengo;1;2;BA;RJ;0.0;0.0;0.0;0.0
18;2;16:00;Figueirense;Corinthians;3;3;SC;SP;0.0;0.0;0.0;0.0
19;2;16:00;Paysandu;Vitoria;1;2;PA;BA;0.0;0.0;0.0;0.0
20;2;16:00;Ponte Preta;Juventude;1;0;SP;RS;0.0;0.0;0.0;0.0
21;2;16:00;Parana;Athletico-PR;3;0;PR;PR;0.0;0.0;0.0;0.0
22;2;16:00;Sao Caetano;Criciuma;3;2;SP;SC;0.0;0.0;0.0;0.0
23;2;18:00;Sao Paulo;Cruzeiro;2;4;SP;MG;0.0;0.0;0.0;0.0
24;2;18:00;Vasco;Goias;6;4;RJ;GO;0.0;0.0;0.0;0.0
25;4;21:40;Paysandu;Santos;2;1;PA;SP;0.0;0.0;0.0;0.0
37;3;16:00;Internacional;Bahia;2;0;RS;BA;0.0;0.0;0.0;0.0
38;3;16:00;Santos;Figueirense;2;0;SP;SC;0.0;0.0;0.0;0.0
39;3;16:00;Athletico-PR;Atletico-MG;1;2;PR;MG;0.0;0.0;0.0;0.0
40;3;18:00;Corinthians;Paysandu;6;1;SP;PA;0.0;0.0;0.0;0.0
41;3;16:00;Vitoria;Vasco;2;1;BA;RJ;0.0;0.0;0.0;0.0
42;3;16:00;Criciuma;Sao Paulo;1;1;SC;SP;0.0;0.0;0.0;0.0
43;3;16:00;Fortaleza;Sao Caetano;1;1;CE;SP;0.0;0.0;0.0;0.0
44;3;16:00;Juventude;Coritiba;2;1;RS;PR;0.0;0.0;0.0;0.0
45;3;16:00;Guarani;Parana;2;0;SP;PR;0.0;0.0;0.0;0.0
46;3;16:00;Goias;Gremio;1;1;GO;RS;0.0;0.0;0.0;0.0
47;3;18:00;Cruzeiro;Ponte Preta;3;0;MG;SP;0.0;0.0;0.0;0.0
48;3;18:00;Flamengo;Fluminense;4;1;RJ;RJ;0.0;0.0;0.0;0.0
26;4;20:30;Bahia;Juventude;3;1;BA;RS;0.0;0.0;0.0;0.0
27;4;20:30;Gremio;Vitoria;2;1;RS;BA;0.0;0.0;0.0;0.0
28;4;20:30;Atletico-MG;Guarani;3;2;MG;SP;0.0;0.0;0.0;0.0
29;4;20:30;Figueirense;Athletico-PR;1;1;SC;PR;0.0;0.0;0.0;0.0
30;4;20:30;Ponte Preta;Criciuma;1;1;SP;SC;0.0;0.0;0.0;0.0
